TABLE_NAME,FILE_FORMAT,SILVER_TABLE_NAME,SILVER_TABLE_TECHNICAL_KEY_FIELDS,SILVER_PRIMARY_KEY
PRC_BENCHMARK,CSV,DIM_PRC_BENCHMARK_SLV,"APUKCODE,ANABENCH2",PRICINGBENCHMARKPRCKEY
PRC_BENCHMARK_LEVEL,CSV,DIM_PRC_BENCHMARK_LEVEL_SLV,ANABENCH2,PRICINGBENCHMARKLEVELPRCKEY
PRC_CAMPAIGN,CSV,DIM_PRC_CAMPAIGN_SLV,"HOUSEKEY,CAMPAIGNCODE",PRICINGCAMPAIGNPRCKEY
PRC_CAMPAIGN_MARKET,CSV,DIM_PRC_CAMPAIGN_MARKET_SLV,"PRICINGMARKETCODE,CAMPAIGNCODE",PRICINGCAMPAIGNMARKETPRCKEY
PRC_CUSTOMER_ERP_PRICING_MARKET,JSON,DIM_PRC_CUSTOMER_ERP_PRICING_MARKET_SLV,"HOUSEKEY,CUSTOMERCODE,PRICINGMARKETCODE",PRICINGCUSTOMERERPPRICINGMARKETPRCKEY
PRC_GENERIC_GEOGRAPHY,JSON,DIM_PRC_GENERIC_GEOGRAPHY_SLV,AGUKCODE,PRICINGGENERICGEOGRAPHYPRCKEY
PRC_GENERIC_PRODUCT,JSON,DIM_PRC_GENERIC_PRODUCT_SLV,APUKCODE,PRICINGGENERICPRODUCTPRCKEY
PRC_GEOGRAPHY,JSON,DIM_PRC_GEOGRAPHY_SLV,IDGEO,PRICINGEOGRAPHYPRCKEY
PRC_HOUSE_PRICE,JSON,PRICING_FACT_HOUSE_PRICE_PRC_SLV,"HOUSEKEY,CAMPAIGNCODE,PRICINGMARKETCODE",PRICINGHOUSEPRICEPRCKEY
PRC_PRICING_MARKET,JSON,DIM_PRC_PRICING_MARKET_SLV,"HOUSEKEY,PRICINGMARKETCODE",PRICINGMARKETPRCKEY
PRC_PRODUCT,JSON,DIM_PRC_PRODUCT_SLV,"HOUSEKEY,IDPRODUCT",PRICINGPRODUCTPRCKEY
PRC_RETAIL_PRICE,JSON,FACT_PRC_RETAIL_PRICE_SLV,"HOUSEKEY,PANELISTSOURCE,PRICECOLLECTIONLINE,COLLECTEDDATE",PRICINGRETAILPRICEPRCKEY
PRC_SYRUSMARKET_NON_ERP_PRICING_MARKET,JSON,DIM_PRC_SYRUSMARKET_NON_ERP_PRICING_MARKET_SLV,"HOUSEKEY,SYRUSMARKETCODE,PRICINGMARKETCODE",PRICINGSYRUSMARKETNONERPPRICINGMARKETPRCKEY
